"plot_name","plot_id","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number","plant height measurement in cm|CO_334:0000018","water|EXPERIMENT_TREATMENT:0000002"
"test_trial21","38857","test_accession4","1","1","","1","","","21","0"
"test_trial22","38858","test_accession5","2","1","","1","","","22","1"
"test_trial23","38859","test_accession3","3","1","","1","","","0","0"
"test_trial24","38860","test_accession3","4","1","","2","","","",""
"test_trial25","38861","test_accession1","5","1","","1","","","",""
"test_trial26","38862","test_accession4","6","1","","2","","","",""
"test_trial27","38863","test_accession5","7","1","","2","","","",""
"test_trial28","38864","test_accession1","8","1","","2","","","",""
"test_trial29","38865","test_accession2","9","1","","1","","","",""
"test_trial210","38866","test_accession3","10","1","","3","","","",""
"test_trial211","38867","test_accession1","11","1","","3","","","",""
"test_trial212","38868","test_accession5","12","1","","3","","","",""
"test_trial213","38869","test_accession2","13","1","","2","","","",""
"test_trial214","38870","test_accession4","14","1","","3","","","",""
"test_trial215","38871","test_accession2","15","1","","3","","","",""
