studyYear	programDbId	programName	programDescription	studyDbId	studyName	studyDescription	studyDesign	plotWidth	plotLength	fieldSize	fieldTrialIsPlannedToBeGenotyped	fieldTrialIsPlannedToCross	plantingDate	harvestDate	locationDbId	locationName	germplasmDbId	germplasmName	germplasmSynonyms	observationLevel	observationUnitDbId	observationUnitName	replicate	blockNumber	plotNumber	rowNumber	colNumber	entryType	plantNumber	plantedSeedlotStockDbId	plantedSeedlotStockUniquename	plantedSeedlotCurrentCount	plantedSeedlotCurrentWeightGram	plantedSeedlotBoxName	plantedSeedlotTransactionCount	plantedSeedlotTransactionWeight	plantedSeedlotTransactionDescription	availableGermplasmSeedlotUniquenames	cass sink leaf|3-phosphoglyceric acid|ug/g|week 16|COMP:0000013	cass sink leaf|ADP alpha-D-glucoside|ug/g|week 16|COMP:0000011	cass sink leaf|ADP|ug/g|week 16|COMP:0000010	cass source leaf|3-phosphoglyceric acid|ug/g|week 16|COMP:0000002	cass source leaf|ADP alpha-D-glucoside|ug/g|week 16|COMP:0000007	cass source leaf|ADP|ug/g|week 16|COMP:0000003	cass storage root|3-phosphoglyceric acid|ug/g|week 16|COMP:0000006	cass storage root|ADP alpha-D-glucoside|ug/g|week 16|COMP:0000004	cass storage root|ADP|ug/g|week 16|COMP:0000005	cass upper stem|3-phosphoglyceric acid|ug/g|week 16|COMP:0000012	cass upper stem|ADP alpha-D-glucoside|ug/g|week 16|COMP:0000008	cass upper stem|ADP|ug/g|week 16|COMP:0000009	dry matter content percentage|CO_334:0000092	fresh root weight|CO_334:0000012	fresh shoot weight measurement in kg|CO_334:0000016	harvest index variable|CO_334:0000015	notes
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41283	IITA-TMS-IBA980581		plot	41284	CASS_6Genotypes_103	1	1	103			test											601.518	39.84365	655.92	1259.08	17.38275	192.1495	67.9959	20.3038	102.0875	108.56995	28.83915	379.16					
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41282	IITA-TMS-IBA980002		plot	41295	CASS_6Genotypes_104	1	1	104			test											221.6135	36.12425	316.489	908.9045	29.6934	162.9475	23.09545	14.3795	85.9106	54.2099	13.8628	341.041					
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41279	IITA-TMS-IBA30572		plot	41296	CASS_6Genotypes_105	1	1	105			test											662.087	46.1458	559.441	1974.265	38.1064	484.765	33.1455	16.7238	98.71395	97.8179	35.4435	439.9695					
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41281	IITA-TMS-IBA011412		plot	41297	CASS_6Genotypes_106	1	1	106			test											612.37	23.788	604.5625	646.902	26.60415	192.46	39.6698	16.78125	107.74	78.72305	28.3805	469.818					
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41280	TMEB693		plot	41298	CASS_6Genotypes_107	1	1	107			test											198.089	47.64845	485.944	779.191	21.12875	147.0405	31.554	10.59626	46.41935	101.7506	30.86975	423.355					
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	40326	BLANK		plot	41299	CASS_6Genotypes_201	1	2	201			test																											
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41280	TMEB693		plot	41300	CASS_6Genotypes_202	1	2	202			test											250.228	39.2627	478.0445	1295.29	21.56485	169.757	26.2744	5.31292	39.4774	61.51325	36.2316	241.418					
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41282	IITA-TMS-IBA980002		plot	41301	CASS_6Genotypes_203	1	2	203			test											245.679	29.4029	299.096	1013.111	17.04795	202.893	40.306	7.442495	75.2132	57.47695	20.43645	303.3225					
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41283	IITA-TMS-IBA980581		plot	41302	CASS_6Genotypes_204	1	2	204			test											235.825	31.0018	491.9535	1302.695	22.82925	281.091	74.1941	15.9235	83.2802	154.109	31.2364	849.9465					
2017	134	test	test	165	CASS_6Genotypes_Sampling_2015	Copy of trial with postcomposed phenotypes from cassbase.	RCBD								23	test_location	41281	IITA-TMS-IBA011412		plot	41285	CASS_6Genotypes_205	1	2	205			test											415.062	61.2228	730.363	1757.615	23.07085	276.8625	49.3781	21.6087	86.7917	73.25295	17.81095	363.986					
