Project Details		Sample Details									Organism Details						
Project Name	User ID	Plate Name	Well	Sample Name	Pedigree	Population	Stock Number	Sample DNA Concentration(ng/ul)	Sample Volume(ul)	Sample DNA Mass(ng)	Kingdom	Genus	Species	Common Name	Subspecies	Variety	Seed Lot
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A01								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A02								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A03								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A04								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A05								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A06								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A07								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A08								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A09								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A10								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A11								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	A12								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B01								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B02								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B03								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B04								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B05								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B06								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B07								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B08								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B09								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B10								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B11								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	B12								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C01								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C02								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C03								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C04								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C05								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C06								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C07								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C08								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C09								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C10								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C11								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	C12								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D01								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D02								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D03								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D04								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D05								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D06								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D07								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D08								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D09								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D10								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D11								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	D12								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E01								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E02								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E03								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E04								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E05								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E06								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E07								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E08								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E09								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E10								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E11								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	E12								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	F01								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	F02								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	F03								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	F04								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	F05	BLANK													
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	F06								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	F07								Plantae	Manihot	esculenta				
NEXTGENCASSAVA	I.Rabbi@cgiar.org	CASSAVA_GS_74_2	F08								Plantae	Manihot	esculenta				
