"Enviro","Plot","Entry","Check","Row","Col","Blk","Row.Blk","Col.Blk"
"Eretz",1001,"entry_256",0,1,1,1,1,1
"Eretz",1002,"entry_197",0,1,2,1,1,1
"Eretz",1003,"chk3",3,1,3,1,1,1
"Eretz",1004,"entry_54",0,1,4,1,1,1
"Eretz",1005,"entry_257",0,1,5,1,1,1
"Eretz",1006,"entry_45",0,1,6,2,1,2
"Eretz",1007,"entry_150",0,1,7,2,1,2
"Eretz",1008,"entry_110",0,1,8,2,1,2
"Eretz",1009,"entry_258",0,1,9,2,1,2
"Eretz",1010,"entry_129",0,1,10,2,1,2
"Eretz",1011,"entry_327",0,1,11,3,1,3
"Eretz",1012,"entry_310",0,1,12,3,1,3
"Eretz",1013,"entry_193",0,1,13,3,1,3
"Eretz",1014,"entry_151",0,1,14,3,1,3
"Eretz",1015,"entry_186",0,1,15,3,1,3
"Eretz",1016,"chk2",2,1,16,4,1,4
"Eretz",1017,"entry_212",0,1,17,4,1,4
"Eretz",1018,"entry_99",0,1,18,4,1,4
"Eretz",1019,"chk4",4,1,19,4,1,4
"Eretz",1020,"entry_238",0,1,20,4,1,4
"Eretz",1021,"entry_300",0,1,21,5,1,5
"Eretz",1022,"entry_62",0,1,22,5,1,5
"Eretz",1023,"entry_130",0,1,23,5,1,5
"Eretz",1024,"entry_282",0,1,24,5,1,5
"Eretz",1025,"entry_204",0,1,25,5,1,5
"Eretz",1026,"entry_117",0,1,26,6,1,6
"Eretz",1027,"entry_4",0,1,27,6,1,6
"Eretz",1028,"entry_149",0,1,28,6,1,6
"Eretz",1029,"entry_182",0,1,29,6,1,6
"Eretz",1030,"entry_16",0,1,30,6,1,6
"Eretz",1031,"entry_37",0,1,31,7,1,7
"Eretz",1032,"entry_102",0,1,32,7,1,7
"Eretz",1033,"entry_17",0,1,33,7,1,7
"Eretz",1034,"entry_272",0,1,34,7,1,7
"Eretz",1035,"entry_181",0,1,35,7,1,7
"Eretz",1036,"chk4",4,1,36,8,1,8
"Eretz",1037,"entry_262",0,1,37,8,1,8
"Eretz",1038,"entry_250",0,1,38,8,1,8
"Eretz",1039,"entry_243",0,1,39,8,1,8
"Eretz",1040,"chk3",3,1,40,8,1,8
"Eretz",1041,"entry_63",0,1,41,9,1,9
"Eretz",1042,"entry_91",0,1,42,9,1,9
"Eretz",1043,"chk4",4,1,43,9,1,9
