	FRW
UG120001	15.25
UG120002	4.13
UG120004	6.82
UG120005	2.78
UG120006	14.36
UG120007	1.94
UG120008	7.45
UG120009	1.15
UG120011	6.37
UG120012	6.03
UG120013	7.36
UG120014	0.24
UG120015	1.97
UG120017	2.27
UG120018	2.84
UG120019	1.23
UG120020	9.64
UG120021	1.93
UG120022	7.6
UG120024	6.17
UG120025	5.11
UG120026	1.03
UG120027	0.93
UG120028	2.65
UG120029	3.07
UG120030	1.03
UG120031	2.47
UG120033	11.34
UG120034	2.63
UG120035	6.04
UG120036	4.97
UG120037	3.67
UG120039	3.6
UG120040	2.14
UG120042	6.82
UG120046	4.08
UG120048	3.23
UG120051	1
UG120053	0.8
UG120055	0.69
UG120057	20.75
UG120058	3.11
UG120060	2.49
UG120061	0.75
UG120062	1.24
UG120063	9.48
UG120064	11.86
UG120065	0.15
UG120067	5.72
UG120069	14.81
UG120070	2.14
UG120071	12.87
UG120072	15.84
UG120074	14.64
UG120076	2.22
UG120078	1.98
UG120080	2.94
UG120081	0.94
UG120084	5.4
UG120085	5.14
UG120087	5.69
UG120088	3.66
UG120089	1.43
UG120093	1.11
UG120095	2.17
UG120096	11.09
UG120097	3.16
UG120098	3.52
UG120099	5.1
UG120101	2.48
UG120102	1.96
UG120103	1.48
UG120105	1.59
UG120106	4.38
UG120107	1.32
UG120108	3.56
UG120109	17.1
UG120113	10.36
UG120115	9.12
UG120116	0.25
UG120120	3.93
UG120121	1.08
UG120122	0.54
UG120126	1.5
UG120128	5.87
UG120132	8.12
UG120133	6.89
UG120135	11.07
UG120137	7.6
UG120141	1.28
UG120143	9.92
UG120144	0.31
UG120146	9.4
UG120148	4.04
UG120151	3.63
UG120153	6.62
UG120154	4.11
UG120156	4.08
UG120157	5.04
UG120158	3.11
UG120160	3.87
UG120161	2.41
UG120162	3.99
UG120163	1.83
UG120164	3.98
UG120165	3.62
UG120166	5.3
UG120167	8.34
UG120169	1.18
UG120170	10.42
UG120171	0.2
UG120172	7.83
UG120173	12.91
UG120174	3.7
UG120175	2.32
UG120176	2.69
UG120177	6.8
UG120178	7.57
UG120179	0.53
UG120181	3.34
UG120184	7.87
UG120185	3.62
UG120186	0.88
UG120187	7.33
UG120189	8.48
UG120190	6.8
UG120191	3.36
UG120192	6.73
UG120193	21.13
UG120194	5.76
UG120195	5.9
UG120196	11.08
UG120198	7.49
UG120199	5.49
UG120202	0.47
UG120205	1.48
UG120207	3.13
UG120208	9
UG120210	2.1
UG120211	4.87
UG120213	4
UG120215	1.06
UG120218	3.07
UG120219	6.95
UG120220	2.22
UG120221	22.8
UG120222	9.26
UG120223	12.22
UG120225	1.32
UG120226	5.46
UG120228	7.39
UG120229	0.87
UG120231	0.5
UG120234	3.54
UG120235	3.39
UG120238	3.24
UG120239	5.5
UG120242	3.09
UG120243	16.69
UG120244	2.65
UG120245	6.09
UG120246	2.96
UG120247	7.59
UG120248	0.48
UG120251	15.03
UG120253	16.16
UG120257	5.04
UG120260	7.96
UG120261	0.41
UG120262	5.8
UG120264	14.07
UG120266	1.87
UG120267	2.54
UG120268	10.94
UG120270	0.73
UG120272	0.69
UG120274	1.87
UG120278	15.62
UG120280	1.69
UG120283	5.62
UG120284	0.62
UG120286	2.28
UG120287	1.32
UG120288	8.19
UG120289	7.09
