	FRW
UG120001	4.94
UG120071	4.46
UG120072	4.45
UG120264	4.39
UG120221	4.18
UG120006	4.03
UG120184	3.73
UG120074	3.66
UG120073	3.44
UG120008	3.04
UG120033	3
UG120034	2.89
UG120143	2.68
UG120279	2.63
UG120062	2.62
UG120066	2.61
UG120280	2.51
UG120069	2.46
UG120278	2.44
UG120096	2.41
UG120057	2.35
UG120061	2.21
UG120070	2.18
UG120013	2.05
UG120135	1.98
UG120090	1.93
UG120065	1.85
UG120247	1.84
UG120187	1.64
UG120092	1.62
UG120196	1.61
UG120012	1.59
UG120080	1.57
UG120042	1.54
UG120211	1.54
UG120134	1.51
UG120277	1.51
UG120043	1.49
UG120020	1.45
UG120101	1.45
UG120003	1.4
UG120091	1.35
UG120194	1.31
UG120251	1.31
UG120011	1.27
UG120089	1.27
UG120132	1.26
UG120170	1.25
UG120177	1.25
UG120063	1.22
UG120064	1.2
UG120146	1.2
UG120058	1.19
UG120053	1.17
UG120153	1.08
UG120268	1.07
UG120115	1.06
UG120193	1.06
UG120267	1.05
UG120172	1.04
UG120106	1.02
UG120002	1
UG120239	0.98
UG120253	0.97
UG120041	0.96
UG120148	0.96
UG120260	0.92
UG120019	0.88
UG120022	0.85
UG120007	0.78
UG120109	0.75
UG120190	0.7
UG120283	0.68
UG120288	0.64
UG120113	0.62
UG120243	0.62
UG120025	0.59
UG120093	0.57
UG120205	0.57
UG120067	0.55
UG120005	0.53
UG120223	0.5
UG120219	0.47
UG120220	0.47
UG120035	0.42
UG120257	0.4
UG120027	0.37
UG120252	0.36
UG120164	0.32
UG120137	0.31
UG120120	0.29
UG120181	0.29
UG120201	0.29
UG120004	0.28
UG120173	0.26
UG120046	0.25
UG120114	0.25
UG120198	0.25
UG120029	0.24
UG120167	0.21
UG120208	0.21
UG120240	0.21
UG120244	0.21
UG120261	0.16
UG120105	0.13
UG120163	0.13
UG120037	0.12
UG120250	0.12
UG120238	0.11
UG120262	0.1
UG120085	0.08
UG120119	0.08
UG120175	0.05
UG120154	0.04
UG120195	0.01
UG120156	0
UG120076	-0.03
UG120098	-0.05
UG120162	-0.06
UG120245	-0.07
UG120166	-0.08
UG120040	-0.1
UG120108	-0.1
UG120128	-0.1
UG120259	-0.1
UG120282	-0.1
UG120107	-0.11
UG120118	-0.11
UG120068	-0.12
UG120242	-0.12
UG120197	-0.13
UG120226	-0.14
UG120180	-0.21
UG120044	-0.22
UG120086	-0.23
UG120155	-0.23
UG120287	-0.23
UG120185	-0.24
UG120078	-0.26
UG120151	-0.26
UG120048	-0.27
UG120199	-0.27
UG120045	-0.28
UG120179	-0.28
UG120039	-0.3
UG120263	-0.3
UG120050	-0.32
UG120130	-0.33
UG120286	-0.33
UG120210	-0.41
UG120123	-0.42
UG120228	-0.42
UG120038	-0.45
UG120087	-0.45
UG120095	-0.45
UG120018	-0.47
UG120227	-0.47
UG120024	-0.48
UG120141	-0.48
UG120149	-0.49
UG120127	-0.5
UG120189	-0.5
UG120084	-0.52
UG120110	-0.52
UG120081	-0.54
UG120117	-0.54
UG120222	-0.55
UG120124	-0.57
UG120160	-0.57
UG120097	-0.59
UG120104	-0.61
UG120017	-0.62
UG120229	-0.63
UG120161	-0.65
UG120266	-0.67
UG120030	-0.68
UG120103	-0.68
UG120276	-0.68
UG120218	-0.7
UG120028	-0.71
UG120083	-0.71
UG120248	-0.73
UG120047	-0.75
UG120031	-0.76
UG120122	-0.79
UG120217	-0.79
UG120274	-0.79
UG120133	-0.82
UG120178	-0.83
UG120207	-0.83
UG120077	-0.85
UG120111	-0.85
UG120144	-0.85
UG120026	-0.86
UG120136	-0.86
UG120158	-0.86
UG120230	-0.88
UG120285	-0.92
UG120056	-0.94
UG120126	-0.96
UG120255	-0.97
UG120284	-0.98
UG120125	-1
UG120142	-1
UG120112	-1.01
UG120157	-1.01
UG120200	-1.03
UG120272	-1.04
UG120289	-1.07
UG120100	-1.08
UG120192	-1.09
UG120116	-1.13
UG120015	-1.14
UG120140	-1.15
UG120088	-1.16
UG120214	-1.16
UG120224	-1.17
UG120235	-1.17
UG120147	-1.18
UG120254	-1.19
UG120052	-1.21
UG120082	-1.22
UG120102	-1.24
UG120232	-1.26
UG120032	-1.27
UG120246	-1.32
UG120233	-1.33
UG120036	-1.34
UG120138	-1.34
UG120186	-1.34
UG120176	-1.35
UG120249	-1.36
UG120131	-1.37
UG120165	-1.38
UG120145	-1.39
UG120016	-1.4
UG120258	-1.41
UG120021	-1.42
UG120174	-1.44
UG120009	-1.47
UG120169	-1.53
UG120099	-1.55
UG120212	-1.55
UG120270	-1.56
UG120129	-1.57
UG120202	-1.59
UG120203	-1.59
UG120237	-1.59
UG120014	-1.65
UG120234	-1.65
UG120121	-1.77
UG120075	-1.83
UG120139	-1.84
UG120191	-1.85
UG120215	-1.91
UG120049	-1.92
UG120023	-1.97
UG120206	-1.97
UG120273	-1.97
UG120059	-2.05
UG120271	-2.06
UG120051	-2.09
UG120216	-2.1
UG120231	-2.11
UG120055	-2.12
UG120060	-2.14
UG120269	-2.18
UG120213	-2.27
UG120171	-2.33
UG120182	-2.44
UG120225	-2.48
UG120168	-2.82
