	Marker.Effects
S8316_61524	0.18181
S6705_400094	0.14937
S69_57277	0.14686
S10780_25444	0.13542
S2264_241725	0.12944
S325_476494	0.11872
S8265_22544562	0.11863
S2960_262567	0.11537
S8617_19507	0.10826
S3581_431736	0.10606
S9360_88379	0.1056
S3241_314241	0.10243
S823_109683	0.0997
S6908_237833	0.09818
S8265_44371882	0.09792
S11874_29482	0.09545
S8265_42380592	0.09442
S4165_382338	0.09264
S4083_456173	0.08953
S2915_247882	0.0895
S4269_52542	0.08852
S2959_122486	0.08833
S6701_438755	0.08545
S8686_843269	0.08479
S3237_271879	0.08406
S7012_12891891	0.08264
S11897_254957	0.08003
S12262_295534	0.079
S2817_91598	0.07836
S8994_202519	0.07827
S11106_78443	0.07813
S5875_654914	0.07811
S8265_125202	0.07781
S9324_41069	0.077
S5335_402068	0.07691
S7035_107575	0.07641
S7520_2804544	0.07639
S3378_380126	0.07498
S5859_652772	0.0743
S7520_2326151	0.07283
S3651_443200	0.07225
S7478_325486	0.07102
S8265_13857522	0.07062
S10797_244349	0.07032
S6980_52703	0.07031
S6916_1173117	0.06937
S3000_214855	0.06919
S4056_140993	0.06824
S6278_732960	0.06813
S3049_609125	0.0665
S832_39811	0.06553
S2431_391893	0.06546
S12946_101555	0.06515
S11267_108022	0.06487
S4043_959955	0.0644
S6916_898371	0.06416
S12091_54588	0.06353
S4457_297856	0.06311
S10563_535346	0.06311
S10551_44996	0.06281
S8673_48171	0.06232
S3741_387303	0.06231
S7520_393434	0.06196
S11689_232183	0.06163
S6814_93934	0.06103
S3614_1817341	0.06089
S1551_3722622	0.05991
S10563_6640	0.05943
S5280_446764	0.05858
S2960_642939	0.05832
S12759_185633	0.05786
S952_150314	0.05622
S11341_175970	0.05588
S1945_666842	0.05569
S3542_507815	0.05403
S9788_66332	0.05349
S5875_130394	0.05313
S7520_1890285	0.05257
S11998_795409	0.05135
S97_219243	0.05109
S2572_310038	0.05107
S7035_17812	0.05062
S11689_120997	0.04985
S3329_32933	0.04909
S3802_796806	0.04873
S8473_17888	0.04804
S8004_147325	0.04756
S12455_550518	0.04674
S8873_203398	0.04649
S11821_196927	0.04648
S3333_300006	0.04567
S4274_177473	0.04516
S3750_654240	0.04458
S8359_1561375	0.04423
S6707_77683	0.0442
S3333_321757	0.04328
S80_265728	0.04322
S7488_50987	0.04232
S12455_245618	0.04224
S1127_16826	0.04182
S1551_3200002	0.0417
S6850_23519	0.04157
S6761_25246	0.04104
S11998_475883	0.04074
S3846_12968	0.04062
S12211_157511	0.04055
S7991_19945	0.04001
S3735_394293	0.03989
S7351_123029	0.03908
S3150_505410	0.03892
S4175_686615	0.03867
S2658_679751	0.03763
S3150_262120	0.03735
S6775_95179	0.03707
S4274_140837	0.03702
S9260_85990	0.03689
S12794_1671144	0.0368
S6278_650925	0.03617
S6206_155413	0.03612
S3602_597743	0.036
S9501_521580	0.03596
S7591_141290	0.03571
S4209_755236	0.03566
S1551_2925283	0.0356
S7571_117345	0.03529
S8686_1074871	0.03465
S12525_581929	0.03418
S3150_319271	0.0341
S8828_26701	0.03372
S2817_245804	0.03342
S8473_154142	0.03332
S3614_10643	0.03295
S1027_465354	0.03281
S12525_579339	0.03207
S6916_343692	0.03083
S5335_417949	0.03082
S6825_291677	0.03067
S10797_134409	0.03063
S11378_324775	0.03062
S8686_5839121	0.0305
S1551_1483219	0.03037
S7660_98872	0.02978
S11297_587571	0.02944
S2431_166818	0.02923
S6707_146411	0.02892
S12525_872745	0.02891
S4439_28513	0.02877
S6825_286368	0.0284
S9365_148585	0.02797
S12279_48910	0.02778
S7520_1896478	0.02719
S248_174244	0.02714
S4043_1147239	0.02697
S7520_730357	0.02693
S7035_336332	0.0269
S8316_64051	0.02664
S3614_2789312	0.02659
S7520_657920	0.02605
S8542_302774	0.02595
S8799_699207	0.02505
S6656_309064	0.02416
S10367_21679	0.0241
S784_76866	0.024
S4083_489335	0.02354
S7762_244113	0.0235
S11661_221624	0.02344
S2477_323725	0.02322
S3115_156392	0.0232
S7012_411405	0.02167
S3241_181474	0.02095
S1551_3239448	0.02069
S10689_585587	0.02065
S4450_193257	0.0205
S5977_101347	0.0203
S12794_1396029	0.02029
S1441_60654	0.02029
S11581_567114	0.02022
S4151_408968	0.01992
S6656_80205	0.01989
S8359_287419	0.01952
S4489_189071	0.01918
S1828_8899	0.01886
S4457_1097015	0.01877
S7069_330799	0.01851
S3741_508439	0.01843
S6916_1130850	0.01838
S847_1804912	0.01797
S4681_262496	0.01786
S999_310366	0.01763
S7571_657127	0.01677
S3245_85163	0.01663
S9120_466058	0.01615
S9120_441308	0.0158
S8265_2172104	0.01562
S10551_96591	0.01553
S6877_11081	0.01453
S10551_41284	0.01424
S3614_3881800	0.01409
S8151_113577	0.01399
S7069_339027	0.01377
S6512_575155	0.01361
S12794_1408925	0.01358
S6278_558480	0.01348
S2658_486557	0.01344
S11495_150387	0.0134
S8359_1752715	0.01313
S8757_543709	0.01282
S12794_1417026	0.01217
S6631_66971	0.01199
S4851_601229	0.01188
S1945_591357	0.01159
S1551_712371	0.0112
S7088_73067	0.01104
S7520_2562868	0.01099
S6816_60873	0.01069
S10493_191533	0.01066
S3581_1333049	0.01042
S8359_1689389	0.0102
S11661_255071	0.00968
S3750_584997	0.00964
S7292_69	0.00885
S3484_40231	0.00746
S7520_1438963	0.007
S4457_1300393	0.00695
S2975_103241	0.0067
S2436_67341	0.00645
S1551_652731	0.00596
S1842_18522	0.00547
S4882_470222	0.00504
S3264_99474	0.00491
S1551_2906760	0.00453
S8799_611047	0.00375
S6611_35506	0.00354
S5_36739	0.00347
S3754_7252	0.00318
S6550_52292	0.00304
S3115_41451	0.00304
S847_1315798	0.0029
S6609_375938	0.00281
S3604_430194	0.00231
S2853_503599	0.00217
S7012_666222	0.00217
S2936_101466	0.00167
S9876_584512	0.00151
S8686_7615221	0.00134
S6814_392390	0.00123
S8847_267195	0.0012
S3332_1040319	0.00108
S7520_639628	0.001
S3741_937767	0.00099
S6089_509226	0.00095
S12498_209195	0.00086
S7519_562902	0.00025
S8265_2750819	7e-05
S5979_296753	-0.00012
S9410_23080	-4e-04
S5875_342195	-0.00072
S8265_29680101	-0.00082
S8359_781759	-0.00105
S10173_899514	-0.00105
S12794_1615271	-0.00164
S11297_430854	-0.00269
S8593_56062	-0.00287
S5848_77293	-0.00337
S6656_133278	-0.00348
S12794_1825180	-0.00351
S4043_373081	-0.00507
S4175_365840	-0.00513
S8245_22275	-0.00523
S3787_76554	-0.00537
S11581_902331	-0.0057
S620_130205	-0.00587
S12794_1954311	-0.006
S4043_1370276	-0.00768
S6914_477062	-0.00802
S3859_212947	-0.00855
S80_224901	-0.00874
S341_745165	-0.00924
S3264_464491	-0.00937
S9702_205063	-0.00947
S5375_132818	-0.0099
S8265_3178182	-0.01008
S10563_110710	-0.01016
S341_311907	-0.01036
S3741_440684	-0.01054
S3975_252778	-0.01079
S7571_626158	-0.01097
S8265_6168752	-0.01104
S1551_1252422	-0.01116
S2932_69572	-0.01165
S3651_300950	-0.01234
S5280_564518	-0.01239
S2572_338710	-0.01277
S1934_97870	-0.01278
S6550_324831	-0.01325
S6512_104772	-0.01348
S6609_419187	-0.01363
S4457_462709	-0.01378
S435_153155	-0.01405
S3736_123338	-0.01409
S8265_3146272	-0.01411
S6512_1743766	-0.01436
S5219_79565	-0.01454
S4882_161352	-0.01522
S8265_404788	-0.01551
S8473_23707	-0.0156
S2421_401501	-0.01588
S2915_338070	-0.01594
S224_309814	-0.016
S11279_135336	-0.01612
S12414_138577	-0.01628
S5019_47183	-0.01777
S3115_135611	-0.01796
S12728_11449	-0.01804
S6089_24864	-0.01823
S847_2403992	-0.01836
S8314_33002	-0.01841
S8122_306261	-0.01872
S1624_164812	-0.01873
S3264_149094	-0.01877
S11179_231468	-0.01901
S3581_377460	-0.01904
S10493_282956	-0.01915
S3186_44615	-0.01916
S8316_828081	-0.01925
S10173_777651	-0.01973
S3241_355591	-0.01978
S8860_12876	-0.01984
S3264_734293	-0.02
S12753_445856	-0.02012
S6446_121660	-0.02015
S3604_370570	-0.02024
S6825_348051	-0.02026
S8542_178809	-0.02098
S2477_406510	-0.02115
S8265_1788254	-0.02164
S823_119622	-0.02217
S3604_1044096	-0.02235
S12794_742415	-0.0231
S3115_240349	-0.02323
S3750_668529	-0.02369
S4080_8045	-0.02407
S8686_7793511	-0.02448
S2915_246230	-0.02451
S8265_1262361	-0.02454
S7543_258314	-0.02517
S11584_97726	-0.0252
S2895_111794	-0.02564
S6916_1522636	-0.02571
S847_188168	-0.02589
S2688_335617	-0.02627
S7107_65000	-0.02654
S9460_85039	-0.02663
S5865_159403	-0.02724
S3049_211198	-0.02728
S2960_544575	-0.02791
S3581_1431971	-0.02836
S6550_503577	-0.02851
S11179_10653	-0.02855
S4269_27179	-0.02943
S2943_739571	-0.02947
S6853_107002	-0.02965
S3332_808673	-0.03011
S9231_115745	-0.03019
S3581_773436	-0.03025
S9000_187825	-0.03055
S4175_567563	-0.03073
S5162_212284	-0.03086
S12004_526993	-0.03086
S2943_243361	-0.03112
S3130_128901	-0.03122
S3264_774153	-0.03129
S3402_49570	-0.03151
S8673_46833	-0.03213
S821_289681	-0.0333
S6155_5121	-0.03333
S3614_529844	-0.03335
S1551_1108196	-0.03355
S1551_1838719	-0.03366
S4065_150573	-0.03369
S8265_252356	-0.03408
S2960_406907	-0.03434
S2080_165181	-0.03466
S12865_649906	-0.035
S8265_32288641	-0.03515
S3750_1090019	-0.03592
S11297_160003	-0.03608
S7762_171787	-0.03614
S7520_2302096	-0.03694
S341_927602	-0.03727
S7041_105481	-0.0384
S8265_4827922	-0.03878
S9761_459530	-0.03949
S1046_216535	-0.0396
S6629_942	-0.03964
S3332_613796	-0.03986
S4065_263245	-0.04016
S7012_1050824	-0.04017
S13_92567	-0.04144
S12262_166442	-0.04148
S2538_411592	-0.04174
S6512_2254100	-0.04218
S3614_868194	-0.0424
S5916_58666	-0.04247
S2421_322288	-0.04291
S2658_601679	-0.04296
S3736_59970	-0.04347
S4305_131355	-0.04384
S12004_315885	-0.04386
S10689_537521	-0.04396
S11495_580938	-0.04624
S2538_42936	-0.04637
S11689_416021	-0.04649
S3000_300696	-0.04681
S1701_727586	-0.04683
S3718_276118	-0.04713
S10241_146006	-0.04757
S10114_185859	-0.04804
S3750_1088142	-0.04829
S2912_229140	-0.04867
S2477_162755	-0.04871
S12529_29862	-0.04877
S12439_186389	-0.04907
S9492_223801	-0.05132
S8265_1563741	-0.05152
S8003_188563	-0.05163
S9035_226	-0.05202
S10493_529025	-0.0521
S935_45975	-0.05269
S12004_43792	-0.05306
S8265_382843	-0.05336
S6598_454335	-0.05369
S7463_71588	-0.05442
S5459_69682	-0.05448
S6908_232376	-0.05459
S12794_2162836	-0.05472
S3049_987925	-0.05519
S4175_515602	-0.05589
S10963_781226	-0.0563
S3049_747203	-0.05771
S7861_4499	-0.05825
S4251_304804	-0.05906
S5005_46565	-0.05911
S8265_36795792	-0.0595
S11495_272492	-0.05988
