	FSWMIK
UG120001	20
UG120002	6.25
UG120003	5.25
UG120004	5.25
UG120005	14.75
UG120006	11.5
UG120007	0.44
UG120008	13.5
UG120009	2.75
UG120011	12.25
UG120012	4.99
UG120013	8.25
UG120014	0.94
UG120015	2.46
UG120016	4.06
UG120017	8.5
UG120018	8.94
UG120019	11
UG120020	16.06
UG120021	9.25
UG120022	25.5
UG120024	12.75
UG120025	5.06
UG120026	24.44
UG120027	31.94
UG120028	16.06
UG120029	6.94
UG120030	4.56
UG120031	5.94
UG120033	13.94
UG120034	7
UG120035	9.44
UG120036	8
UG120037	27.06
UG120039	24.44
UG120040	6.94
UG120042	9.06
UG120046	5.94
UG120048	5.94
UG120051	8.94
UG120053	4
UG120055	2.06
UG120057	21.5
UG120058	25.94
UG120060	14.94
UG120061	10
UG120062	9.5
UG120063	13
UG120064	17.5
UG120065	5.56
UG120066	6.5
UG120067	7.5
UG120069	26.06
UG120070	4.75
UG120071	19.25
UG120072	22.5
UG120074	13.94
UG120076	0.94
UG120078	10.94
UG120080	3.5
UG120081	2.06
UG120084	3.44
UG120085	4.44
UG120087	8.94
UG120088	5.94
UG120089	5
UG120090	2.94
UG120091	0.72
UG120093	1.44
UG120095	3.5
UG120096	36
UG120097	15.5
UG120098	35
UG120099	11.56
UG120101	4.5
UG120102	14.94
UG120103	5.5
UG120105	10.06
UG120106	8
UG120107	15.25
UG120108	16
UG120109	19.5
UG120113	35.75
UG120115	18.5
UG120116	1.94
UG120120	1.94
UG120121	6.44
UG120122	-0.41
UG120126	6.5
UG120128	5.94
UG120132	40.5
UG120133	9.56
UG120134	4.06
UG120135	19
UG120137	5.94
UG120141	3.94
UG120143	22.44
UG120144	1.94
UG120146	37.5
UG120148	7.25
UG120151	3.44
UG120153	8.06
UG120154	4.94
UG120156	7
UG120157	16
UG120158	7
UG120160	6.06
UG120161	9.5
UG120162	26.94
UG120163	6.94
UG120164	6.75
UG120165	5.5
UG120166	19.25
UG120167	10.24
UG120169	2.94
UG120170	9.94
UG120171	2.06
UG120172	11.94
UG120173	26
UG120174	9
UG120175	8.94
UG120176	7.06
UG120177	9
UG120178	9.75
UG120179	5.94
UG120181	6
UG120184	6.94
UG120185	6.25
UG120186	9.06
UG120187	29
UG120189	15.25
UG120190	22.5
UG120191	8.75
UG120192	20
UG120193	34
UG120194	10
UG120195	16.5
UG120196	32
UG120198	18.94
UG120199	3.94
UG120202	5.44
UG120205	14.06
UG120206	4.06
UG120207	3.94
UG120208	10.75
UG120210	2.56
UG120211	21.5
UG120213	23.94
UG120215	9.25
UG120218	9
UG120219	18.75
UG120220	10
UG120221	37.25
UG120222	27.25
UG120223	23
UG120225	2
UG120226	15.94
UG120228	20.25
UG120229	0.94
UG120231	-0.06
UG120234	16.06
UG120235	19.25
UG120238	17.25
UG120239	17.25
UG120242	9
UG120243	36.75
UG120244	0.94
UG120245	21.2
UG120246	7.56
UG120247	14
UG120248	8.94
UG120251	16
UG120253	35.5
UG120257	5.56
UG120260	21
UG120261	6.06
UG120262	10.75
UG120264	23.5
UG120266	4.14
UG120267	5
UG120268	10.94
UG120270	1.94
UG120272	4.06
UG120274	8.06
UG120277	7.06
UG120278	13.25
UG120280	1.05
UG120283	4.25
UG120284	4
UG120286	3.25
UG120287	12.5
UG120288	18
UG120289	24.5
