studyYear	programDbId	programName	programDescription	studyDbId	studyName	studyDescription	studyDesign	plotWidth	plotLength	fieldSize	fieldTrialIsPlannedToBeGenotyped	fieldTrialIsPlannedToCross	plantingDate	harvestDate	locationDbId	locationName	germplasmDbId	germplasmName	germplasmSynonyms	observationLevel	observationUnitDbId	observationUnitName	replicate	blockNumber	plotNumber	rowNumber	colNumber	entryType	plantNumber	plantedSeedlotStockDbId	plantedSeedlotStockUniquename	plantedSeedlotCurrentCount	plantedSeedlotCurrentWeightGram	plantedSeedlotBoxName	plantedSeedlotTransactionCount	plantedSeedlotTransactionWeight	plantedSeedlotTransactionDescription	availableGermplasmSeedlotUniquenames	DMCP	FRW	FSWMIK	notes
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39086	UG120250		plot	39691	KASESE_TP2013_1000	1	53	36014			test														
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	38960	UG120092		plot	39493	KASESE_TP2013_1001	1	53	36015			test														
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	38981	UG120120		plot	39819	KASESE_TP2013_1002	1	53	36016			test											30.1	3.93	3	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39194	UG130076		plot	39311	KASESE_TP2013_1003	1	53	36017			test														
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39174	UG130050		plot	39632	KASESE_TP2013_1004	1	54	36018			test											24.2	7.26	12.5	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	38919	UG120043		plot	39846	KASESE_TP2013_1005	1	54	36019			test														
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	38952	UG120084		plot	39919	KASESE_TP2013_1006	1	54	36020			test											27.4	5.4	4.5	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39049	UG120202		plot	39836	KASESE_TP2013_1007	1	54	36021			test											16.3	0.47	6.5	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39105	UG120273		plot	39350	KASESE_TP2013_1008	1	54	36022			test														
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	38966	UG120099		plot	39322	KASESE_TP2013_1009	1	54	36023			test														
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39187	UG130067		plot	39602	KASESE_TP2013_1010	1	54	36024			test											25	0.69	1.9	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	38946	UG120077		plot	39513	KASESE_TP2013_1011	1	55	36025			test														
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39243	UG130133		plot	39548	KASESE_TP2013_1012	1	55	36026			test											22	1.85	8.5	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39019	UG120170		plot	39467	KASESE_TP2013_1013	1	55	36027			test											28.9	10.42	11	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	38955	UG120087		plot	39400	KASESE_TP2013_1014	1	55	36028			test											27	5.69	10	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	38987	UG120128		plot	39637	KASESE_TP2013_1015	1	56	36030			test												5.87	7	
2014	134	test	test	139	Kasese solgs trial	This trial was loaded into the fixture to test solgs.	Alpha								23	test_location	39211	UG130095		plot	39252	KASESE_TP2013_1016	1	56	36031			test														
