	Marker.Effects
S7012_666222	0.08403
S1828_8899	0.05971
S11341_175970	0.05367
S9120_466058	0.05353
S7520_2804544	0.0533
S8359_1752715	0.05242
S10563_996687	0.05056
S8494_164649	0.04626
S9702_205063	0.04595
S11581_902331	0.04582
S8542_302774	0.04569
S2912_229140	0.04461
S2975_103241	0.04435
S7762_171787	0.04348
S3264_734293	0.04283
S1027_465354	0.04266
S318_245078	0.04155
S6278_650925	0.04153
S10797_134409	0.04133
S7520_2562868	0.03997
S8265_3178182	0.0399
S4681_593453	0.03965
S341_311907	0.03964
S2421_322288	0.03949
S12455_488938	0.03769
S6914_477062	0.03696
S1046_216535	0.03689
S4209_755236	0.03455
S2538_42936	0.03425
S5335_417949	0.03413
S11998_795409	0.03296
S9120_441308	0.03279
S8265_3146272	0.03267
S8316_828081	0.03265
S11689_232183	0.03135
S11661_255071	0.03119
S11897_254957	0.03092
S8828_26701	0.03088
S12759_185633	0.03067
S8473_23707	0.02992
S11821_196927	0.02871
S4882_470222	0.02863
S5280_446764	0.02862
S6512_1743766	0.0286
S9761_459530	0.0281
S12262_123295	0.02793
S4080_8045	0.02755
S4851_601229	0.02691
S341_927602	0.02655
S1934_97870	0.0264
S9324_41069	0.0264
S5280_564518	0.02613
S8265_1563741	0.02603
S12794_1408925	0.02584
S8686_7793511	0.02572
S7571_291382	0.02554
S8151_113577	0.02508
S6512_575155	0.02452
S6137_47666	0.0236
S2477_323725	0.02355
S10173_777651	0.02339
S8265_4827922	0.02339
S2688_335617	0.02303
S7292_69	0.02222
S7991_19945	0.02213
S8122_306261	0.02182
S11584_97726	0.02158
S69_57277	0.02147
S6598_454335	0.0214
S8359_1689389	0.02131
S3604_370570	0.02128
S435_153155	0.02073
S13_92567	0.02072
S11106_78443	0.02047
S11179_231468	0.02046
S4450_193257	0.02005
S999_310366	0.01979
S11495_272492	0.01977
S5375_53450	0.01965
S10493_191533	0.01929
S4882_161352	0.0189
S847_2403992	0.0188
S3614_10643	0.01853
S6775_95179	0.0185
S2915_338070	0.01846
S5916_58666	0.01832
S7520_2302096	0.0183
S2431_166818	0.01823
S5977_101347	0.01817
S3975_237757	0.01816
S3614_529844	0.01794
S3602_597743	0.01785
S3787_76554	0.01785
S8473_154142	0.01772
S7035_17812	0.01767
S3604_430194	0.01762
S12542_14293	0.0176
S12498_209195	0.01752
S6512_104772	0.0173
S6914_1376609	0.01722
S3049_747203	0.01716
S6598_300948	0.01712
S7520_1896478	0.01703
S12794_2162836	0.01697
S3150_505410	0.01697
S7996_258208	0.01689
S4305_131355	0.01668
S8314_33002	0.0165
S7520_1890285	0.01635
S11661_221624	0.0163
S12525_579339	0.01628
S6908_237833	0.01622
S4043_959955	0.01614
S8003_188563	0.01611
S12262_295534	0.01599
S7520_730357	0.01574
S4083_456173	0.01568
S6850_23519	0.01566
S3329_32933	0.01552
S12794_1671144	0.01539
S1945_591357	0.01527
S341_745165	0.01521
S10367_21679	0.0151
S7012_411405	0.01504
S12004_315885	0.01498
S11581_567114	0.01493
S4043_1147239	0.01483
S5005_46565	0.01474
S2421_1140337	0.01466
S4274_177473	0.01423
S11495_150387	0.01407
S12686_58507	0.01404
S8265_24005142	0.01382
S11998_912093	0.01369
S3150_319271	0.01368
S1551_2906760	0.01356
S6916_1130850	0.01336
S11874_29482	0.01323
S3614_868194	0.01321
S3735_394293	0.01298
S7035_336332	0.01274
S832_39811	0.0127
S9410_23080	0.01263
S325_476494	0.01254
S2915_246230	0.01237
S11495_580938	0.0122
S6816_60873	0.01218
S12414_138577	0.01215
S7520_1438963	0.01209
S2421_401501	0.01208
S3859_212947	0.01191
S1551_2925283	0.01176
S11998_632212	0.01154
S97_219243	0.01146
S8265_13857522	0.01145
S1551_1252422	0.01121
S248_174244	0.01088
S12794_1954311	0.01048
S6611_35506	0.01018
S4165_382338	0.01004
S3150_262120	0.00993
S7519_562902	0.0097
S2915_247882	0.00932
S3333_321757	0.00918
S6916_1522636	0.00915
S6761_25246	0.00905
S9013_98478	0.00903
S3241_314241	0.00889
S3115_135611	0.00876
S3186_44615	0.00869
S3718_276118	0.00866
S10563_6640	0.00805
S8316_61524	0.00788
S7861_4499	0.00775
S8873_203398	0.0077
S8359_1561375	0.00763
S3484_40231	0.0075
S3264_464491	0.00735
S6550_52292	0.00713
S5865_159403	0.00659
S5848_77293	0.00647
S8673_46833	0.00646
S1551_3722622	0.00616
S1551_3239448	0.00603
S4457_1097015	0.00585
S4457_462709	0.00584
S4083_489335	0.00579
S2943_243361	0.00577
S8316_64051	0.00576
S6028_67175	0.00549
S11378_324775	0.00542
S3581_1333049	0.00531
S3750_654240	0.00529
S12946_101555	0.00527
S3581_773436	0.00511
S5019_47183	0.00507
S1551_652731	0.00497
S3115_240349	0.00496
S4043_1370276	0.00495
S784_76866	0.00426
S7012_1050824	0.00385
S9501_521580	0.00373
S1551_1622871	0.00371
S10689_585587	0.0033
S9876_584512	0.00328
S3741_151581	0.00323
S4489_189071	0.00294
S823_109683	0.00293
S4056_140993	0.00292
S8686_7615221	0.00289
S80_265728	0.00246
S12753_445856	0.00223
S80_224901	0.00217
S9788_66332	0.00215
S8617_19507	0.00207
S12794_1740426	0.00191
S8473_17888	0.0018
S7520_639628	0.00178
S6701_438755	0.00176
S3802_796806	0.00175
S9460_91231	0.00169
S8359_781759	0.0015
S3741_987743	0.00144
S7520_2326151	0.00143
S6707_77683	0.00139
S6629_942	0.00117
S2960_642939	0.00108
S12865_649906	0.00087
S7069_330799	0.00055
S4269_27179	0.00039
S847_188168	0.00037
S3581_1431971	0.00032
S823_119622	0.00025
S6656_133278	0.00016
S6155_5121	6e-05
S12439_186389	-3e-05
S3049_211198	-3e-05
S10563_458792	-0.00019
S4065_263245	-0.00039
S3741_387303	-0.00051
S2080_103510	-0.00054
S5219_79565	-0.00065
S1551_3200002	-0.00069
S1127_16826	-0.00074
S6707_146411	-8e-04
S8245_22275	-0.00088
S6877_11081	-0.00092
S11297_430854	-0.00097
S3049_987925	-0.001
S3264_774153	-0.00101
S7543_258314	-0.00123
S11998_475883	-0.00132
S11689_120997	-0.00168
S10551_96591	-0.0018
S12211_157511	-0.00198
S7012_12891891	-0.002
S7520_657920	-0.00242
S3750_1088142	-0.00243
S3741_508439	-0.00254
S7088_73067	-0.00265
S4457_297856	-0.00287
S3235_140317	-0.00312
S7444_119272	-0.00313
S3581_377460	-0.00319
S8994_202519	-0.00329
S7478_325486	-0.00336
S3754_7252	-0.00358
S1551_1108196	-0.0036
S4175_686615	-0.00368
S6446_121660	-0.00371
S11388_132103	-0.00377
S10551_41284	-0.00381
S3542_507815	-0.00403
S80_232173	-0.00409
S12004_526993	-0.00428
S12525_581929	-0.00439
S6550_324831	-0.00472
S8265_42380592	-0.00483
S3614_2789312	-0.00517
S8686_843269	-0.00525
S2295_15627	-0.00526
S3741_440684	-0.00596
S3000_214855	-0.00598
S6825_348051	-0.00605
S6278_558480	-0.00617
S3333_300006	-0.00624
S3049_609125	-0.0064
S12794_742415	-0.00642
S7591_141290	-0.00655
S940_150103	-0.00683
S12455_245618	-0.00684
S12262_166442	-0.00685
S3581_431736	-0.00687
S10689_537521	-0.00693
S3846_12968	-0.00695
S3264_99474	-0.00698
S2431_391893	-0.00718
S3245_85163	-0.00728
S10563_535346	-0.00737
S1551_1838719	-0.00743
S8686_5839121	-0.00744
S3264_149094	-0.00748
S12004_39799	-0.00757
S6609_419187	-0.0081
S7571_626158	-0.00835
S1551_712371	-0.00843
S8265_252356	-0.00887
S6550_503577	-0.0089
S2932_69572	-0.00902
S7069_339027	-0.00906
S4065_271143	-0.00912
S2436_67341	-0.00921
S6908_174548	-0.00926
S7571_117345	-0.00927
S620_130205	-0.00942
S6089_24864	-0.00945
S8265_29680101	-0.00962
S8359_287419	-0.00963
S7488_50987	-0.00987
S2658_486557	-0.00998
S4439_28513	-0.01
S6278_610459	-0.01009
S8265_22544562	-0.01029
S2572_310038	-0.01032
S1551_3366575	-0.01038
S3975_252778	-0.0104
S2936_101466	-0.01042
S8265_2750819	-0.01042
S6656_309064	-0.01043
S8265_6168752	-0.01046
S10241_146006	-0.01048
S2538_411592	-0.01052
S3736_59970	-0.01076
S2572_338710	-0.01105
S4457_1300393	-0.01106
S10563_110710	-0.01118
S6825_291677	-0.01129
S9788_453634	-0.01131
S5875_342195	-0.01136
S3614_1817341	-0.01141
S1551_1483219	-0.01147
S6814_392390	-0.01148
S9035_226	-0.01153
S2477_406510	-0.01194
S9365_148585	-0.01204
S4151_408968	-0.01211
S8847_267195	-0.01225
S821_289681	-0.01231
S7520_393434	-0.01235
S10114_185859	-0.01235
S7351_123029	-0.01247
S9000_187825	-0.01249
S4065_150573	-0.01252
S12525_872745	-0.01259
S7571_657127	-0.01264
S10963_781226	-0.01264
S8265_1788254	-0.01274
S7660_98872	-0.01275
S9414_6599	-0.01276
S935_45975	-0.01281
S3241_181474	-0.01309
S11279_135336	-0.01313
S4043_373081	-0.01326
S2080_165181	-0.01327
S8265_36795792	-0.01339
S6278_732960	-0.01341
S6089_509226	-0.01391
S3750_1090019	-0.01399
S7463_71588	-0.01408
S6908_232376	-0.01411
S2943_739571	-0.01415
S1624_164812	-0.01426
S7762_244113	-0.01462
S6656_80205	-0.01472
S6609_375938	-0.01479
S4209_210894	-0.01506
S6705_400094	-0.01516
S11297_160003	-0.01518
S5375_132818	-0.01545
S2817_245804	-0.01557
S2892_478987	-0.01569
S1441_60654	-0.01631
S6916_1173117	-0.01655
S3736_123338	-0.01655
S12279_48910	-0.01655
S5875_130394	-0.01662
S3604_1044096	-0.01684
S3130_128901	-0.01704
S3750_668529	-0.01707
S9231_115745	-0.01712
S3241_355591	-0.01726
S5_36739	-0.01739
S2895_111794	-0.01746
S3000_300696	-0.01748
S10173_899514	-0.01753
S8265_125202	-0.01757
S9692_230167	-0.01761
S3332_808673	-0.01793
S6631_66971	-0.01804
S2817_91598	-0.01897
S6814_646247	-0.019
S3651_443200	-0.01905
S9492_223801	-0.02004
S10780_25444	-0.02006
S11267_108022	-0.02007
S3115_41451	-0.02026
S12529_29862	-0.02047
S4269_52542	-0.0207
S5162_212284	-0.02149
S9360_88379	-0.02163
S5979_296753	-0.02172
S12794_1417026	-0.02208
S4251_304804	-0.02215
S9260_85990	-0.02239
S6611_103757	-0.02246
S8004_147325	-0.02248
S8860_12876	-0.02258
S11297_591849	-0.02265
S2960_406907	-0.023
S7035_107575	-0.02308
S3402_49570	-0.02347
S8542_178809	-0.02372
S6814_93934	-0.02377
S12794_1615271	-0.024
S8167_142287	-0.02401
S2264_241725	-0.02406
S8265_1262361	-0.02416
S11179_10653	-0.02422
S3332_1040319	-0.0243
S3115_156392	-0.0243
S12091_54588	-0.02433
S2960_544575	-0.02434
S2658_679751	-0.02463
S1842_18522	-0.02487
S5335_402068	-0.02507
S1945_666842	-0.02539
S2658_601679	-0.02556
S7041_105481	-0.02592
S4175_567563	-0.02599
S11297_587571	-0.02627
S847_1315798	-0.02688
S2960_262567	-0.02698
S6916_343692	-0.02699
S3237_271879	-0.0275
S8265_404788	-0.0278
S8265_382843	-0.0281
S4285_227555	-0.02849
S224_309814	-0.0291
S6512_2254100	-0.02925
S5859_652772	-0.02945
S12211_104742	-0.03048
S8686_1074871	-0.03059
S2853_503599	-0.03085
S3741_937767	-0.03091
S6206_155413	-0.03093
S6914_917023	-0.03104
S847_1804912	-0.03128
S8673_48171	-0.0314
S10797_244349	-0.03153
S10493_529025	-0.03228
S6407_232902	-0.03233
S3750_584997	-0.0331
S6980_52703	-0.0338
S4175_515602	-0.03401
S6656_803304	-0.03683
S952_150314	-0.03705
S6853_107002	-0.03729
S5459_69682	-0.03813
S11689_416021	-0.03819
S8265_32288641	-0.03889
S4175_365840	-0.03899
S12728_11449	-0.0391
S3378_380126	-0.03911
S8265_2172104	-0.03922
S8799_699207	-0.03925
S1701_727586	-0.03954
S3332_613796	-0.04033
S4274_140837	-0.04049
S3651_300950	-0.04065
S10551_44996	-0.04077
S5875_654914	-0.04081
S6916_898371	-0.04085
S12004_43792	-0.04111
S12455_550518	-0.04155
S3614_3881800	-0.04364
S11341_582872	-0.04389
S6825_286368	-0.04437
S8265_44371882	-0.04811
S12794_1396029	-0.04814
S2477_162755	-0.04947
S10493_282956	-0.04988
S8593_56062	-0.0556
S9460_85039	-0.05577
S8799_611047	-0.05684
S12794_1825180	-0.05788
S7107_65000	-0.06432
S8757_543709	-0.0677
S2959_122486	-0.07176
S4681_262496	-0.07567
