	DMCP
UG120190	2.42
UG120194	2.38
UG120045	2.37
UG120241	2.35
UG120193	2.33
UG120178	2.31
UG120155	2.29
UG120037	2.14
UG120179	2.14
UG120036	2.13
UG120180	2.13
UG120251	2.11
UG120056	1.95
UG120047	1.93
UG120023	1.77
UG120031	1.74
UG120035	1.74
UG120276	1.72
UG120138	1.67
UG120198	1.64
UG120022	1.62
UG120252	1.6
UG120004	1.58
UG120040	1.58
UG120207	1.58
UG120066	1.57
UG120024	1.54
UG120130	1.54
UG120195	1.53
UG120046	1.52
UG120157	1.51
UG120197	1.49
UG120003	1.48
UG120021	1.45
UG120065	1.44
UG120026	1.43
UG120032	1.42
UG120160	1.4
UG120206	1.38
UG120271	1.36
UG120189	1.33
UG120017	1.29
UG120082	1.27
UG120192	1.24
UG120287	1.24
UG120128	1.22
UG120248	1.22
UG120284	1.22
UG120224	1.21
UG120123	1.2
UG120027	1.17
UG120289	1.16
UG120096	1.13
UG120285	1.13
UG120156	1.1
UG120263	1.1
UG120086	1.09
UG120191	1.08
UG120025	1.07
UG120216	1.06
UG120084	1.05
UG120016	1.04
UG120221	1.02
UG120274	1.02
UG120122	1.01
UG120078	0.98
UG120228	0.96
UG120267	0.95
UG120044	0.91
UG120230	0.91
UG120028	0.9
UG120258	0.9
UG120083	0.85
UG120095	0.85
UG120172	0.84
UG120268	0.79
UG120254	0.75
UG120057	0.73
UG120116	0.73
UG120261	0.73
UG120136	0.71
UG120186	0.66
UG120257	0.65
UG120007	0.63
UG120067	0.63
UG120153	0.63
UG120219	0.59
UG120002	0.58
UG120223	0.58
UG120264	0.58
UG120063	0.57
UG120227	0.55
UG120181	0.53
UG120115	0.51
UG120200	0.49
UG120064	0.45
UG120088	0.45
UG120134	0.45
UG120211	0.45
UG120139	0.42
UG120196	0.4
UG120187	0.39
UG120119	0.38
UG120143	0.36
UG120149	0.36
UG120205	0.36
UG120260	0.33
UG120210	0.32
UG120070	0.31
UG120170	0.31
UG120280	0.3
UG120030	0.28
UG120279	0.26
UG120220	0.23
UG120208	0.22
UG120048	0.21
UG120120	0.21
UG120154	0.21
UG120008	0.18
UG120005	0.17
UG120018	0.17
UG120052	0.17
UG120240	0.16
UG120234	0.14
UG120147	0.12
UG120171	0.11
UG120117	0.09
UG120262	0.09
UG120144	0.08
UG120282	0.07
UG120288	0.07
UG120125	0.06
UG120029	0.04
UG120106	0.04
UG120167	0.03
UG120071	-0.02
UG120203	-0.03
UG120247	-0.03
UG120101	-0.04
UG120162	-0.04
UG120253	-0.04
UG120272	-0.06
UG120229	-0.08
UG120237	-0.09
UG120062	-0.11
UG120199	-0.12
UG120226	-0.13
UG120250	-0.13
UG120146	-0.14
UG120085	-0.15
UG120135	-0.15
UG120137	-0.16
UG120232	-0.17
UG120001	-0.2
UG120164	-0.2
UG120141	-0.21
UG120185	-0.24
UG120097	-0.25
UG120113	-0.26
UG120165	-0.28
UG120072	-0.29
UG120166	-0.31
UG120259	-0.31
UG120286	-0.31
UG120163	-0.32
UG120173	-0.32
UG120217	-0.32
UG120218	-0.32
UG120222	-0.33
UG120129	-0.36
UG120069	-0.38
UG120245	-0.38
UG120102	-0.39
UG120105	-0.4
UG120124	-0.41
UG120238	-0.42
UG120145	-0.45
UG120246	-0.51
UG120059	-0.52
UG120039	-0.59
UG120061	-0.59
UG120050	-0.6
UG120132	-0.63
UG120087	-0.64
UG120270	-0.64
UG120111	-0.68
UG120235	-0.69
UG120244	-0.69
UG120169	-0.71
UG120142	-0.74
UG120158	-0.74
UG120109	-0.75
UG120140	-0.75
UG120107	-0.78
UG120133	-0.78
UG120060	-0.79
UG120174	-0.79
UG120213	-0.79
UG120161	-0.82
UG120215	-0.82
UG120255	-0.82
UG120010	-0.83
UG120009	-0.84
UG120034	-0.84
UG120081	-0.84
UG120099	-0.88
UG120202	-0.88
UG120231	-0.93
UG120108	-0.94
UG120127	-0.95
UG120038	-0.96
UG120269	-0.96
UG120151	-0.97
UG120073	-1.02
UG120201	-1.02
UG120100	-1.03
UG120015	-1.07
UG120168	-1.08
UG120076	-1.09
UG120225	-1.13
UG120278	-1.13
UG120110	-1.14
UG120148	-1.15
UG120175	-1.16
UG120098	-1.17
UG120177	-1.18
UG120273	-1.19
UG120277	-1.22
UG120214	-1.23
UG120033	-1.25
UG120077	-1.29
UG120074	-1.4
UG120121	-1.44
UG120266	-1.44
UG120243	-1.46
UG120104	-1.48
UG120212	-1.48
UG120242	-1.49
UG120126	-1.5
UG120176	-1.54
UG120043	-1.56
UG120114	-1.64
UG120239	-1.72
UG120091	-1.76
UG120103	-1.8
UG120080	-1.81
UG120131	-1.81
UG120014	-1.87
UG120006	-1.94
UG120055	-1.95
UG120089	-1.98
UG120090	-1.98
UG120051	-2.06
UG120013	-2.07
UG120041	-2.16
UG120012	-2.24
UG120042	-2.24
UG120283	-2.26
UG120092	-2.31
UG120184	-2.35
UG120058	-2.45
UG120093	-2.49
UG120020	-2.5
UG120011	-2.64
UG120053	-2.64
UG120019	-2.72
