	FSWMIK
UG120001	11
UG120002	9
UG120003	10
UG120004	7
UG120005	10
UG120006	9
UG120007	2
UG120008	12
UG120009	8
UG120010	9
UG120011	12
UG120012	16
UG120013	20
UG120014	6
UG120015	10
UG120016	11
UG120017	14
UG120018	6
UG120019	23
UG120020	17
UG120021	9
UG120022	22
UG120023	2.7
UG120024	6.5
UG120025	4.6
UG120026	6
UG120027	22.5
UG120028	6.4
UG120029	7
UG120030	5
UG120031	8
UG120032	3.2
UG120033	19
UG120034	20.2
UG120035	10
UG120036	8.2
UG120037	9.8
UG120038	2.2
UG120039	10.3
UG120040	8.8
UG120041	1.3
UG120042	4.4
UG120043	3.3
UG120044	3.2
UG120045	3
UG120046	2
UG120047	3
UG120048	4
UG120049	2
UG120050	3
UG120051	5
UG120052	1
UG120053	19
UG120055	11
UG120056	1.5
UG120057	10.5
UG120058	4.5
UG120059	3
UG120060	4
UG120061	28
UG120062	15
UG120063	11
UG120064	9
UG120065	28
UG120066	32
UG120067	6
UG120068	2.5
UG120069	28
UG120070	11
UG120071	13
UG120072	16
UG120073	14
UG120074	21
UG120075	2
UG120076	4
UG120077	2
UG120078	9
UG120079	8
UG120080	14
UG120081	4
UG120082	3
UG120083	4
UG120084	4
UG120085	4.5
UG120086	3
UG120087	2
UG120088	3
UG120089	4.8
UG120090	5
UG120091	4.6
UG120092	4.1
UG120093	4.1
UG120095	3
UG120096	8.4
UG120097	9.8
UG120098	24
UG120099	7
UG120100	9.2
UG120101	7.3
UG120102	5.3
UG120103	5.8
UG120104	2.7
UG120105	9.8
UG120106	7.8
UG120107	25
UG120108	16
UG120109	14.3
UG120110	2.6
UG120111	3.1
UG120112	7.6
UG120113	6.5
UG120114	3.2
UG120115	15.9
UG120116	33.2
UG120117	9.4
UG120118	13.3
UG120119	2.1
UG120120	6.4
UG120121	6.2
UG120122	6.7
UG120123	3.5
UG120124	9.8
UG120125	2.5
UG120126	4
UG120127	2.3
UG120128	2.3
UG120129	1.2
UG120130	4.2
UG120131	1.3
UG120132	12.3
UG120133	4
UG120134	5
UG120135	10
UG120136	2
UG120137	7
UG120138	3
UG120139	2.5
UG120140	2
UG120141	6.5
UG120142	1
UG120143	14
UG120144	7
UG120145	7
UG120146	20
UG120147	3
UG120148	20
UG120149	3
UG120151	9
UG120152	4
UG120153	7
UG120154	5
UG120155	13.1
UG120156	12.3
UG120157	6.8
UG120158	8
UG120159	0.8
UG120160	7
UG120161	8.2
UG120162	1
UG120163	12.5
UG120164	13.8
UG120165	6.8
UG120166	11.8
UG120167	4
UG120168	1.2
UG120169	6.2
UG120170	5.1
UG120171	3.2
UG120172	5.2
UG120173	5
UG120174	7.9
UG120175	5
UG120176	7.3
UG120177	7.8
UG120178	7.3
UG120179	5
UG120180	2.1
UG120181	8.2
UG120182	4.4
UG120184	10
UG120185	6.1
UG120186	11.4
UG120187	12.5
UG120189	9.4
UG120190	18
UG120191	9.7
UG120192	11.3
UG120193	5.1
UG120194	13.2
UG120195	11.6
UG120196	20.4
UG120197	3.7
UG120198	6
UG120199	6
UG120200	2.5
UG120201	7
UG120202	3
UG120203	3
UG120204	1
UG120205	9
UG120206	6
UG120207	6
UG120208	9
UG120209	0.5
UG120210	7
UG120211	17
UG120212	4
UG120213	4
UG120214	2.5
UG120215	6
UG120216	5
UG120217	2
UG120218	7
UG120219	9
UG120220	11
UG120221	18
UG120222	4.5
UG120223	10
UG120224	3.2
UG120225	5
UG120226	3
UG120227	5.5
UG120228	5.9
UG120229	2
UG120230	1
UG120231	2.8
UG120232	14.6
UG120233	5
UG120234	5.5
UG120235	13.5
UG120237	3.6
UG120238	14
UG120239	10.5
UG120240	7.5
UG120241	0.3
UG120242	11
UG120243	21.5
UG120244	4
UG120245	10
UG120246	5
UG120247	6
UG120248	23
UG120249	2
UG120250	2
UG120251	25
UG120252	2
UG120253	11
UG120254	4
UG120255	9
UG120256	3
UG120257	8
UG120258	6
UG120259	1.5
UG120260	7
UG120261	12
UG120262	3
UG120263	1
UG120264	14
UG120266	1.7
UG120267	10.5
UG120268	6.8
UG120269	2
UG120270	7.5
UG120271	1.1
UG120272	5.3
UG120273	1.6
UG120274	4.6
UG120276	2.3
UG120277	3.3
UG120278	11.4
UG120279	6.3
UG120280	8.5
UG120282	14.3
UG120283	8.9
UG120284	16
UG120285	0.8
UG120286	4.2
UG120288	14
UG120289	9
